16777216	2104832	29360128
167772160	20979200	293601280
33554432	4201984	58720256
50331648	6299136	88080384
67108864	8396288	117440512
83886080	10493440	146800640
100663296	12590592	176160768
117440512	14687744	205520896
134217728	16784896	234881024
150994944	18882048	264241152
