Size,Sectors,Conflicts
122992,46122,0
131072,49152,0
131073,49155,0
134680,50505,0
237292,88986,0
248374,93141,0
262144,98304,0
262145,98307,0
32768,12288,0
32769,12291,0
65536,24576,0
65537,24579,0
