Size,Sectors,Conflicts
1261,0,0
1280,852099198,0
1281,0,0
1523,0,0
1600,1664258926,0
1601,0,0
320,13326350,0
321,17625658,0
584,82064369,0
640,106537308,0
641,134455374,0
928,324806276,0
960,359541696,0
961,0,0
