Size,Sectors,Conflicts
1261,0,0
1280,16588800,0
1281,0,0
1523,0,0
1600,32320000,0
1601,0,0
320,268712,0
321,337675,0
584,1477385,0
640,2099196,0
641,2507566,0
928,6351232,0
960,7027200,0
961,0,0
