Size,Sectors,Conflicts
1024,1024,2158698,0
1024,256,540672,0
1024,512,1064155,0
1024,768,1621089,0
256,1024,538985,0
256,256,135168,0
256,512,270037,0
256,768,394604,0
258,258,137074,0
258,514,271260,0
258,770,408521,0
512,1024,1079544,0
512,256,270336,0
512,512,537097,0
512,768,812634,0
514,258,271805,0
514,514,541970,0
514,770,813048,0
584,584,697561,0
584,880,1055185,0
584,890,1064913,0
768,1024,1615353,0
768,256,404399,0
768,512,803044,0
768,768,1211547,0
770,258,408521,0
770,514,809282,0
770,770,1219796,0
880,584,1053202,0
880,880,1589075,0
880,890,1610296,0
890,584,1064152,0
890,880,1609916,0
890,890,1627287,0
