Size,Sectors,Conflicts
1024,1024,393216,0
1024,256,98304,0
1024,512,196608,0
1024,768,294912,0
256,1024,98304,0
256,256,24576,0
256,512,49152,0
256,768,73728,0
258,258,28404,0
258,514,55353,0
258,770,83159,0
512,1024,196608,0
512,256,49152,0
512,512,98304,0
512,768,147456,0
514,258,55225,0
514,514,109000,0
514,770,163749,0
584,584,123724,0
584,880,186668,0
584,890,187578,0
768,1024,294912,0
768,256,73728,0
768,512,147456,0
768,768,221184,0
770,258,81906,0
770,514,163549,0
770,770,244538,0
880,584,186366,0
880,880,281902,0
880,890,283458,0
890,584,212782,0
890,880,324640,0
890,890,326009,0
