1024,1024,2123944,0
1024,256,532480,0
1024,512,1062069,0
1024,768,1591103,0
256,1024,532232,0
256,256,133120,0
256,512,261988,0
256,768,396898,0
258,258,134749,0
258,514,267766,0
258,770,400796,0
512,1024,1062020,0
512,256,266240,0
512,512,528148,0
512,768,796840,0
514,258,267878,0
514,514,533509,0
514,770,800933,0
584,584,685645,0
584,880,1036674,0
584,890,1051273,0
768,1024,1589980,0
768,256,398191,0
768,512,789423,0
768,768,1189184,0
770,258,401676,0
770,514,797042,0
770,770,1199112,0
880,584,1036209,0
880,880,1564560,0
880,890,1583196,0
890,584,1042682,0
890,880,1584182,0
890,890,1602183,0
