0, 0, 9
32, 0, 9
64, 0, 9
96, 0, 9
0, 32, 2057
32, 32, 89097
64, 32, 176137
96, 32, 263177
0, 64, 4105
32, 64, 178185
64, 64, 352265
96, 64, 526345
0, 96, 6153
32, 96, 267273
64, 96, 528393
96, 96, 789513
1, 1, 158
33, 1, 2878
65, 1, 5598
97, 1, 8318
1, 33, 4926
33, 33, 94686
65, 33, 184446
97, 33, 274206
1, 65, 9694
33, 65, 186494
65, 65, 363294
97, 65, 540094
1, 97, 14462
33, 97, 278302
65, 97, 542142
97, 97, 805982
6, 6, 3453
75, 6, 38643
68, 6, 35073
51, 6, 26403
6, 75, 43059
75, 75, 482934
68, 75, 438309
51, 75, 329934
6, 68, 39041
75, 68, 437861
68, 68, 397401
51, 68, 299141
6, 51, 29283
75, 51, 328398
68, 51, 298053
51, 51, 224358
