0, 0, 0
32, 0, 0
64, 0, 0
96, 0, 0
0, 32, 64
32, 32, 64
64, 32, 64
96, 32, 64
0, 64, 128
32, 64, 128
64, 64, 128
96, 64, 128
0, 96, 192
32, 96, 192
64, 96, 192
96, 96, 192
1, 1, 2
33, 1, 2
65, 1, 2
97, 1, 2
1, 33, 66
33, 33, 66
65, 33, 66
97, 33, 66
1, 65, 130
33, 65, 130
65, 65, 130
97, 65, 130
1, 97, 194
33, 97, 194
65, 97, 194
97, 97, 194
6, 6, 12
75, 6, 12
68, 6, 12
51, 6, 12
6, 75, 150
75, 75, 150
68, 75, 150
51, 75, 150
6, 68, 136
75, 68, 136
68, 68, 136
51, 68, 136
6, 51, 102
75, 51, 102
68, 51, 102
51, 51, 102
