1024, 1024, 133120
1024, 256, 133120
1024, 512, 133120
1024, 768, 133120
256, 1024, 33280
256, 256, 33280
256, 512, 33280
256, 768, 33280
512, 1024, 66560
512, 256, 66560
512, 512, 66560
512, 768, 66560
768, 1024, 99840
768, 256, 99840
768, 512, 99840
768, 768, 99840
258, 258, 33540
258, 514, 33540
258, 770, 33540
514, 258, 66820
514, 514, 66820
514, 770, 66820
770, 258, 100100
770, 514, 100100
770, 770, 100100
584, 584, 75920
584, 880, 75920
584, 890, 75920
880, 584, 114400
880, 880, 114400
880, 890, 114400
890, 584, 115700
890, 880, 115700
890, 890, 115700
