1024, 1024, 8196
1024, 256, 2052
1024, 512, 4100
1024, 768, 6148
256, 1024, 8196
256, 256, 2052
256, 512, 4100
256, 768, 6148
512, 1024, 8196
512, 256, 2052
512, 512, 4100
512, 768, 6148
768, 1024, 8196
768, 256, 2052
768, 512, 4100
768, 768, 6148
258, 258, 2454
258, 514, 4886
258, 770, 7318
514, 258, 2454
514, 514, 4886
514, 770, 7318
770, 258, 2454
770, 514, 4886
770, 770, 7318
584, 584, 4676
584, 880, 7044
584, 890, 7124
880, 584, 4676
880, 880, 7044
880, 890, 7124
890, 584, 5552
890, 880, 8364
890, 890, 8458
