1261, 1024, 37019
1261, 256, 9371
1261, 512, 18587
1280, 1024, 37019
1280, 256, 9371
1280, 512, 18587
1281, 1024, 37019
1281, 256, 9371
1281, 512, 18587
1523, 1024, 37019
1523, 256, 9371
1523, 512, 18587
1600, 1024, 37019
1600, 256, 9371
1600, 512, 18587
1601, 1024, 37019
1601, 256, 9371
1601, 512, 18587
320, 1024, 37019
320, 256, 9371
320, 512, 18587
321, 1024, 37019
321, 256, 9371
321, 512, 18587
584, 1024, 37019
584, 256, 9371
584, 512, 18587
640, 1024, 37019
640, 256, 9371
640, 512, 18587
641, 1024, 37019
641, 256, 9371
641, 512, 18587
928, 1024, 37019
928, 256, 9371
928, 512, 18587
960, 1024, 37019
960, 256, 9371
960, 512, 18587
961, 1024, 37019
961, 256, 9371
961, 512, 18587
