1261, 1024, 3
1261, 256, 3
1261, 512, 3
1280, 1024, 3
1280, 256, 3
1280, 512, 3
1281, 1024, 3
1281, 256, 3
1281, 512, 3
1523, 1024, 3
1523, 256, 3
1523, 512, 3
1600, 1024, 3
1600, 256, 3
1600, 512, 3
1601, 1024, 3
1601, 256, 3
1601, 512, 3
320, 1024, 3
320, 256, 3
320, 512, 3
321, 1024, 3
321, 256, 3
321, 512, 3
584, 1024, 3
584, 256, 3
584, 512, 3
640, 1024, 3
640, 256, 3
640, 512, 3
641, 1024, 3
641, 256, 3
641, 512, 3
928, 1024, 3
928, 256, 3
928, 512, 3
960, 1024, 3
960, 256, 3
960, 512, 3
961, 1024, 3
961, 256, 3
961, 512, 3
