1024, 1024, 185351
1024, 256, 185351
1024, 512, 185351
1024, 768, 185351
256, 1024, 46343
256, 256, 46343
256, 512, 46343
256, 768, 46343
512, 1024, 92679
512, 256, 92679
512, 512, 92679
512, 768, 92679
768, 1024, 139015
768, 256, 139015
768, 512, 139015
768, 768, 139015
258, 258, 46705
258, 514, 46705
258, 770, 46705
514, 258, 93041
514, 514, 93041
514, 770, 93041
770, 258, 139377
770, 514, 139377
770, 770, 139377
584, 584, 105711
584, 880, 105711
584, 890, 105711
880, 584, 159287
880, 880, 159287
880, 890, 159287
890, 584, 161097
890, 880, 161097
890, 890, 161097
